
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="totalexpd",="totalexpd",="totalexpd",="totalexpd",="totalexpd",="totalexpd"

="unempd_nat_pos_age",="-0.023***",="-0.023***",="",="",="-0.021***",="-0.021***"
="",="(0.005)",="(0.005)",="",="",="(0.005)",="(0.005)"

="unempd_nat_neg_age",="-0.006***",="-0.007***",="",="",="-0.001",="0.000"
="",="(0.002)",="(0.002)",="",="",="(0.002)",="(0.003)"

="unempd_loc_pos_age",="",="",="-0.002*",="-0.003**",="-0.001",="-0.002"
="",="",="",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="unempd_loc_neg_age",="",="",="-0.008***",="-0.008***",="-0.008***",="-0.009***"
="",="",="",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="N",="3645362",="3645362",="3645362",="3645362",="3645362",="3645362"
="R-sq",="0.010",="0.014",="0.010",="0.014",="0.010",="0.014"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.010"
