variable,mean,sd,p10,p50,p90,N
age,49.4459167037201,11.523826334969,35,48,66,33735
FAM_NUM_TOTAL,2.74118867644883,1.44239108280403,1,2,5,33735
TOTAL_CONSUMP1,37135.6534995163,25106.4622026676,14862,33028,63293.83828125,33735
INCOME_TOTAL_FAM,64470.2651845287,35275.168408827,23000,58090,116000,33735
LIQUID_WEALTH,28204.8323106552,237553.834537753,-22000,100,70000,33735
ILLIQUID_WEALTH,185837.191670357,756311.832002161,1500,63000,421000,33735
WEALTH_TOTAL,214042.023981032,813906.533611312,-2000,64000,512060,33735
Unempl_Exp_Personal_lambda1,5.97147585279267,3.43356792463416,4.3814417989418,4.95491741741742,9.95672008547009,33735
Unempl_Exp_Personal_lambda3,5.80598239204691,6.01495874695026,3.00028179455732,3.95145621002255,13.4024455423893,33735
exp_state_nat_lagged_1,6.06544094518943,0.29455463340158,5.71961190772757,6.03819925739391,6.46643761013135,33735
exp_state_nat_lagged_l3,5.99452134624453,0.556612172921167,5.33826627270584,5.93781332657204,6.75529341178307,33735
