"",model 1,model 2,model 3,model 4,model 5,model 6
Dependent Var.:,pexp_dum,pexp_dum,pexp_dum,dur_dum,dur_dum,dur_dum
 , , , , , , 
experience_lambda1_lag,-0.017*** (0.004),-0.015*** (0.004),-0.014*** (0.004),-0.064*** (0.005),-0.054*** (0.005),-0.050*** (0.005)
UE_rate,-0.012 (0.012),-0.007 (0.013),-0.006 (0.013),0.005 (0.015),-0.008. (0.005),-1.27*** (0.178)
ln_income,  ,0.017*** (0.001),0.018*** (0.001),  ,0.050*** (0.001),0.046*** (0.002)
______________________,_________________,_________________,_________________,_________________,_________________,_________________
S.E. type,Heteroskeda.-rob.,Heteroskeda.-rob.,Heteroskeda.-rob.,Heteroskeda.-rob.,Heteroskeda.-rob.,Heteroskeda.-rob.
Observations,"253,118","238,174","236,571","246,433","232,094","230,547"
R2,0.04370,0.04512,0.04476,0.05201,0.05992,-0.11580
Adj. R2,0.04325,0.04463,0.04426,0.05155,0.05942,-0.11641
