"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8,model 9,model 10,model 11,model 12,model 13,model 14,model 15,model 16
Dependent Var.:,consumption,consumption,consumption,consumption,consumption,consumption,consumption,consumption,consumption,consumption,consumption,consumption,consumption,consumption,consumption,consumption
 , , , , , , , , , , , , , , , , 
income,0.567*** (0.002),0.380*** (0.006),0.604*** (0.003),0.398*** (0.007),0.423*** (0.005),0.288*** (0.002),0.479*** (0.004),0.360*** (0.005),0.573*** (0.003),0.385*** (0.006),0.625*** (0.004),0.408*** (0.008),0.433*** (0.005),0.293*** (0.002),0.500*** (0.003),0.371*** (0.006)
p_delta,0.274*** (0.030),0.535*** (0.118),-0.106** (0.032),-0.447*** (0.068),-0.244*** (0.070),0.338*** (0.065),-1.38*** (0.061),-1.62*** (0.051),0.482*** (0.061),0.481*** (0.091),0.041* (0.016),-0.322*** (0.041),0.197*** (0.015),0.345*** (0.054),-1.21*** (0.045),-1.49*** (0.036)
assets,  ,0.264*** (0.005),  ,0.265*** (0.005),  ,0.310*** (0.005),  ,0.256*** (0.008),  ,0.262*** (0.005),  ,0.268*** (0.004),  ,0.308*** (0.005),  ,0.263*** (0.007)
Fixed-Effects:,----------------,----------------,----------------,-----------------,-----------------,----------------,----------------,----------------,----------------,----------------,----------------,-----------------,----------------,----------------,----------------,----------------
period,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
educ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
_______________,________________,________________,________________,_________________,_________________,________________,________________,________________,________________,________________,________________,_________________,________________,________________,________________,________________
S.E.: Clustered,by: period,by: period,by: period,by: period,by: period,by: period,by: period,by: period,by: period,by: period,by: period,by: period,by: period,by: period,by: period,by: period
Observations,"1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000","1,600,000"
R2,0.77776,0.87973,0.79615,0.88550,0.71155,0.85542,0.75760,0.83667,0.77981,0.88036,0.80659,0.89117,0.71159,0.85609,0.77570,0.84923
Within R2,0.67252,0.82277,0.70573,0.83471,0.55354,0.77621,0.66364,0.77336,0.67554,0.82370,0.72270,0.84397,0.55359,0.77725,0.69662,0.79608
