variable,mean,sd,p10,p50,p90,N
age,49.6321293902815,11.4072832380784,35,49,66,42167
FAM_NUM_TOTAL,2.70277705314582,1.44901742290798,1,2,5,42167
TOTAL_CONSUMP1,38898.1924145301,30636.8995001921,11906.2,32872,70832.4046875,42167
INCOME_TOTAL_FAM,78088.217136625,105325.255512688,14026,58050,151250.4,42167
LIQUID_WEALTH,53181.66414493,585161.440620497,-21000,57,1e+05,42167
ILLIQUID_WEALTH,249996.978561456,1074170.42350865,0,65000,540000,42167
WEALTH_TOTAL,303178.642706372,1299473.85184125,-1500,65000,670320.000000001,42167
Unempl_Exp_Personal_lambda1,6.21047566594418,3.87925814553077,4.41164021164021,4.96097756410256,11.0790860215054,42167
Unempl_Exp_Personal_lambda3,6.23073091962517,6.80562175029536,3.05720089462658,3.97985829431034,15.1856484622165,42167
exp_state_nat_lagged_1,6.06919164373238,0.293657289677315,5.7264885751374,6.04085980344702,6.46956484635389,42167
exp_state_nat_lagged_l3,6.0017710765893,0.554689397794634,5.35164167370902,5.94477961274244,6.75686612911042,42167
