
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="Consumption",="Consumption",="Consumption",="Consumption",="Consumption",="Consumption",="Consumption",="Consumption",="Consumption",="Consumption",="Consumption",="Consumption",="Consumption",="Consumption",="Consumption",="Consumption"

="Income",="0.567",="0.380",="0.604",="0.398",="0.423",="0.288",="0.479",="0.360",="0.573",="0.385",="0.625",="0.408",="0.433",="0.293",="0.500",="0.371"
="",="(238.54)",="(65.69)",="(188.25)",="(53.68)",="(84.59)",="(173.89)",="(136.44)",="(69.81)",="(221.74)",="(63.33)",="(160.52)",="(50.02)",="(90.19)",="(145.92)",="(155.38)",="(64.13)"

="Wealth",="",="0.264",="",="0.265",="",="0.310",="",="0.256",="",="0.262",="",="0.268",="",="0.308",="",="0.263"
="",="",="(53.53)",="",="(55.19)",="",="(58.38)",="",="(32.26)",="",="(52.16)",="",="(59.54)",="",="(58.53)",="",="(36.58)"

="Unempl. Exp.",="0.274",="0.535",="-0.106",="-0.447",="-0.244",="0.338",="-1.375",="-1.624",="0.482",="0.481",="0.041",="-0.322",="0.197",="0.345",="-1.207",="-1.486"
="",="(9.02)",="(4.55)",="(-3.34)",="(-6.59)",="(-3.50)",="(5.21)",="(-22.40)",="(-31.81)",="(7.83)",="(5.28)",="(2.56)",="(-7.90)",="(13.23)",="(6.33)",="(-26.73)",="(-41.23)"

="Lambda",="1",="1",="1",="1",="1",="1",="1",="1",="3",="3",="3",="3",="3",="3",="3",="3"
="Rational or EBL",="Rational",="Rational",="EBL",="EBL",="Rational",="Rational",="EBL",="EBL",="Rational",="Rational",="EBL",="EBL",="Rational",="Rational",="EBL",="EBL"
="Model",="Baseline",="Baseline",="Baseline",="Baseline",="Extended",="Extended",="Extended",="Extended",="Baseline",="Baseline",="Baseline",="Baseline",="Extended",="Extended",="Extended",="Extended"
="Period Clustered SE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Period (Age) FE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="R2",="0.778",="0.880",="0.796",="0.886",="0.712",="0.855",="0.758",="0.837",="0.780",="0.880",="0.807",="0.891",="0.712",="0.856",="0.776",="0.849"
="N",="1.6e+06",="1.6e+06",="1.6e+06",="1.6e+06",="1.6e+06",="1.6e+06",="1.6e+06",="1.6e+06",="1.6e+06",="1.6e+06",="1.6e+06",="1.6e+06",="1.6e+06",="1.6e+06",="1.6e+06",="1.6e+06"

="t statistics in parentheses"
