="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="total",="total",="total",="total",="total",="total"
="exp_personal_lagged_1",="-0.485***",="",="-0.368***",="",="",=""
="",="(0.093)",="",="(0.100)",="",="",=""
="exp_state_nat_lagged_1",="",="-0.016",="-0.012",="",="",=""
="",="",="(0.017)",="(0.018)",="",="",=""
="exp_personal_nat_l3",="",="",="",="-0.258***",="",="-0.274***"
="",="",="",="",="(0.051)",="",="(0.053)"
="exp_state_nat_lagged_l3",="",="",="",="",="-0.022**",="-0.017**"
="",="",="",="",="",="(0.010)",="(0.009)"
="N",="25460",="25460",="25460",="25460",="25460",="25460"
="R-sq",="",="",="",="",="",=""
="adj. R-sq",="",="",="",="",="",=""
="R2",="0.590",="0.589",="0.560",="0.570",="0.519",="0.588"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
