
="",="(1)",="(2)",="(3)",="(4)"
="",="totalexp",="totalexp",="totalexp",="totalexp"

="experience_lambda1_lag",="-0.165***",="-0.164***",="",=""
="",="(0.055)",="(0.055)",="",=""

="value",="",="-0.005***",="",="-0.005***"
="",="",="(0.001)",="",="(0.001)"

="experience_lambda3_lag",="",="",="-0.172***",="-0.172***"
="",="",="",="(0.027)",="(0.027)"

="N",="3168445",="3168445",="3168445",="3168445"
="R-sq",="0.526",="0.526",="0.526",="0.526"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
