
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="F8.Income",="F16.Income",="F24.Income",="F32.Income",="F40.Income",="F8.Income",="F16.Income",="F24.Income",="F32.Income",="F40.Income"

="Unempl. Exp.",="-0.005",="0.221",="0.348",="0.404",="0.418",="0.204",="0.453",="0.554",="0.589",="0.574"
="",="(-0.15)",="(6.08)",="(11.71)",="(16.05)",="(18.01)",="(4.66)",="(10.27)",="(14.75)",="(17.76)",="(17.96)"

="Lambda",="1",="1",="1",="1",="1",="3",="3",="3",="3",="3"
="Rational or EBL",="EBL",="EBL",="EBL",="EBL",="EBL",="EBL",="EBL",="EBL",="EBL",="EBL"
="Model",="Extended",="Extended",="Extended",="Extended",="Extended",="Extended",="Extended",="Extended",="Extended",="Extended"
="Period Clustered SE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Period (Age) FE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="R2",="0.381",="0.306",="0.281",="0.265",="0.255",="0.374",="0.302",="0.277",="0.262",="0.252"
="N",="1.5e+06",="1.4e+06",="1.4e+06",="1.3e+06",="1.2e+06",="1.5e+06",="1.4e+06",="1.4e+06",="1.3e+06",="1.2e+06"

="t statistics in parentheses"
